Date,forecast_Interval,forecast_midpoint
2023-04-19,"[165.89353497992317, 167.08923054072082]",166.87129991082398
2023-04-20,"[165.4292722319441, 168.15056206817508]",166.73208830873637
2023-04-21,"[165.6061866402625, 167.865372276162]",166.75143605340213
2023-04-24,"[164.32673795460974, 166.46944355726464]",165.230728063782
2023-04-25,"[163.8715378716493, 165.6065714059576]",164.73728446469462
2023-04-26,"[163.71533329546642, 166.31003351269212]",165.0725963481931
2023-04-27,"[162.67851508199774, 165.28483992835737]",163.83927259286054
2023-04-28,"[165.5595981529453, 168.58122774891746]",167.47204356464994
2023-05-01,"[168.1049410186254, 169.83470180194405]",168.9035609952013
2023-05-02,"[168.65805218548215, 170.91985876381133]",169.64340202606053
2023-05-03,"[167.37856322136548, 169.88019972766824]",168.78859514003065
2023-05-04,"[167.16946590083927, 171.41423480401275]",169.13542182393832
2023-05-05,"[163.90545976129587, 167.0599212030572]",165.02906592867546
2023-05-08,"[171.71138960748053, 174.20600544567625]",173.88410313351454
2023-05-09,"[171.9099797740101, 173.8523305355921]",172.42400695112704
2023-05-10,"[171.61791230111464, 173.51836614635337]",172.76527627062634
2023-05-11,"[171.92983805209983, 174.00919177590097]",172.92629127832973
2023-05-12,"[172.1924480699512, 174.56862348324512]",173.45701603586335
2023-05-15,"[170.84147751002868, 174.0574604359245]",172.3668965601362
2023-05-16,"[171.59232620077964, 173.22395098283778]",172.3858468539005
2023-05-17,"[171.79345405707264, 173.1491187437952]",172.46864472757707
2023-05-18,"[170.2474573282255, 172.93893071075522]",171.55497744195037
2023-05-19,"[172.91885545618578, 175.20204265300575]",174.30148272194697
2023-05-22,"[175.09899392329325, 176.34966569157095]",175.7461228678587
2023-05-23,"[173.19729881294225, 174.71724703267046]",173.8053436103294
2023-05-24,"[171.10969896604976, 173.3899052564719]",172.19619539483617
2023-05-25,"[170.493969723098, 172.45351623989006]",171.40180730295813
2023-05-26,"[171.85273055457657, 173.91157990397338]",173.03148360584066
2023-05-30,"[173.22641009878666, 175.72998774421848]",174.58180009539063
2023-05-31,"[176.9826917914693, 178.97397372964315]",178.24376863604692
2023-06-01,"[176.61729191637835, 179.348465943173]",177.8903751684044
2023-06-02,"[177.01012529775232, 180.0847742333252]",178.67105243263524
2023-06-05,"[179.5350247738412, 181.74217692677797]",180.76727004252587
2023-06-06,"[177.76529719558494, 184.95046164306027]",181.5375851554248
2023-06-07,"[177.46871666900452, 180.151740064181]",178.32201241223714
2023-06-08,"[177.2890918707233, 181.2114752868424]",179.5496657872359
2023-06-09,"[177.4915909935363, 180.84789768127504]",179.00168508742283
2023-06-12,"[181.03264202648248, 182.20747665397852]",181.84591500653622
2023-06-13,"[180.8392667155552, 183.84685131634376]",182.40498576185283
2023-06-14,"[182.68571966448008, 184.12114431826546]",183.43916568034442
2023-06-15,"[181.86275575078216, 184.36946945230767]",183.13047373966518
2023-06-16,"[184.06875462217928, 186.49590909880447]",185.48688625720513
2023-06-20,"[184.21523248268656, 186.98349248685977]",185.56924938504017
2023-06-21,"[184.4500503605664, 186.0957063420709]",185.22107680169032
2023-06-22,"[182.33931033880268, 185.41933922104943]",183.8147648719574
2023-06-23,"[183.90562737056044, 187.02639465594214]",185.64811513990637
2023-06-26,"[185.08656943339975, 187.5380871821636]",186.31477567373437
2023-06-27,"[185.22753323956636, 188.02951757147983]",186.68389215858036
2023-06-28,"[185.72771058161246, 188.37289464116978]",187.07429186357191
2023-06-29,"[187.82700277352205, 189.8662048169745]",189.0063256900851
2023-06-30,"[189.0247329437803, 190.04867232267043]",189.52441268825314
