Date,Interval_Price,midpoint
2022-07-01,"[135.660004, 139.039993]",137.3499985
2022-07-05,"[136.929993, 141.610001]",139.269997
2022-07-06,"[141.080002, 144.119995]",142.5999985
2022-07-07,"[143.279999, 146.550003]",144.91500100000002
2022-07-08,"[145.0, 147.550003]",146.2750015
2022-07-11,"[143.779999, 146.639999]",145.20999899999998
2022-07-12,"[145.050003, 148.449997]",146.75
2022-07-13,"[142.119995, 146.449997]",144.28499599999998
2022-07-14,"[143.25, 148.949997]",146.0999985
2022-07-15,"[148.199997, 150.860001]",149.529999
2022-07-18,"[146.699997, 151.570007]",149.135002
2022-07-19,"[146.910004, 151.229996]",149.07
2022-07-20,"[150.369995, 153.720001]",152.044998
2022-07-21,"[151.940002, 155.570007]",153.75500449999998
2022-07-22,"[153.410004, 156.279999]",154.8450015
2022-07-25,"[152.279999, 155.039993]",153.659996
2022-07-26,"[150.800003, 153.089996]",151.9449995
2022-07-27,"[152.160004, 157.330002]",154.745003
2022-07-28,"[154.410004, 157.639999]",156.02500149999997
2022-07-29,"[159.5, 163.630005]",161.5650025
2022-08-01,"[160.889999, 163.589996]",162.23999750000002
2022-08-02,"[159.630005, 162.410004]",161.0200045
2022-08-03,"[160.75, 166.589996]",163.66999800000002
2022-08-04,"[164.429993, 167.190002]",165.8099975
2022-08-05,"[163.0, 165.850006]",164.425003
2022-08-08,"[164.199997, 167.809998]",166.0049975
2022-08-09,"[163.25, 165.820007]",164.53500350000002
2022-08-10,"[166.899994, 169.339996]",168.11999500000002
2022-08-11,"[168.190002, 170.990005]",169.5900035
2022-08-12,"[169.399994, 172.169998]",170.78499599999998
2022-08-15,"[171.350006, 173.389999]",172.3700025
2022-08-16,"[171.660004, 173.710007]",172.6850055
2022-08-17,"[172.570007, 176.149994]",174.3600005
2022-08-18,"[173.119995, 174.899994]",174.0099945
2022-08-19,"[171.309998, 173.740005]",172.5250015
2022-08-22,"[167.139999, 169.860001]",168.5
2022-08-23,"[166.649994, 168.710007]",167.6800005
2022-08-24,"[166.25, 168.110001]",167.1800005
2022-08-25,"[168.350006, 170.139999]",169.2450025
2022-08-26,"[163.559998, 171.050003]",167.3050005
2022-08-29,"[159.820007, 162.899994]",161.3600005
2022-08-30,"[157.720001, 162.559998]",160.1399995
2022-08-31,"[157.139999, 160.580002]",158.8600005
2022-09-01,"[154.669998, 158.419998]",156.544998
2022-09-02,"[154.970001, 160.360001]",157.66500100000002
2022-09-06,"[153.690002, 157.089996]",155.389999
2022-09-07,"[153.610001, 156.669998]",155.1399995
2022-09-08,"[152.679993, 156.360001]",154.519997
2022-09-09,"[154.75, 157.820007]",156.28500350000002
2022-09-12,"[159.300003, 164.259995]",161.779999
2022-09-13,"[153.369995, 160.539993]",156.954994
2022-09-14,"[153.610001, 157.100006]",155.3550035
2022-09-15,"[151.380005, 155.240005]",153.310005
2022-09-16,"[148.369995, 151.350006]",149.8600005
2022-09-19,"[149.100006, 154.559998]",151.830002
2022-09-20,"[153.080002, 158.080002]",155.580002
2022-09-21,"[153.600006, 158.740005]",156.1700055
2022-09-22,"[150.910004, 154.470001]",152.6900025
2022-09-23,"[148.559998, 151.470001]",150.0149995
2022-09-26,"[149.639999, 153.770004]",151.70500149999998
2022-09-27,"[149.949997, 154.720001]",152.33499899999998
2022-09-28,"[144.839996, 150.639999]",147.73999750000002
2022-09-29,"[140.679993, 146.720001]",143.699997
2022-09-30,"[138.0, 143.100006]",140.550003
2022-10-03,"[137.690002, 143.070007]",140.38000449999998
2022-10-04,"[144.259995, 146.220001]",145.239998
2022-10-05,"[143.009995, 147.380005]",145.195
2022-10-06,"[145.220001, 147.539993]",146.379997
2022-10-07,"[139.449997, 143.100006]",141.2750015
2022-10-10,"[138.570007, 141.889999]",140.230003
2022-10-11,"[138.220001, 141.350006]",139.78500350000002
2022-10-12,"[138.160004, 140.360001]",139.26000249999998
2022-10-13,"[134.369995, 143.589996]",138.9799955
2022-10-14,"[138.190002, 144.520004]",141.355003
2022-10-17,"[140.270004, 142.899994]",141.58499899999998
2022-10-18,"[140.610001, 146.699997]",143.654999
2022-10-19,"[141.5, 144.949997]",143.2249985
2022-10-20,"[142.649994, 145.889999]",144.2699965
2022-10-21,"[142.649994, 147.850006]",145.25
2022-10-24,"[146.0, 150.229996]",148.114998
2022-10-25,"[149.360001, 152.490005]",150.925003
2022-10-26,"[148.039993, 151.990005]",150.014999
2022-10-27,"[144.130005, 149.050003]",146.59000400000002
2022-10-28,"[147.820007, 157.5]",152.66000350000002
2022-10-31,"[151.919998, 154.240005]",153.08000149999998
2022-11-01,"[149.130005, 155.449997]",152.29000100000002
2022-11-02,"[145.0, 152.169998]",148.58499899999998
2022-11-03,"[138.75, 142.800003]",140.7750015
2022-11-04,"[134.380005, 142.669998]",138.5250015
2022-11-07,"[135.669998, 139.149994]",137.40999599999998
2022-11-08,"[137.490005, 141.429993]",139.45999899999998
2022-11-09,"[134.589996, 138.550003]",136.5699995
2022-11-10,"[139.5, 146.869995]",143.1849975
2022-11-11,"[144.369995, 150.009995]",147.189995
2022-11-14,"[147.429993, 150.279999]",148.854996
2022-11-15,"[148.559998, 153.589996]",151.074997
2022-11-16,"[147.289993, 149.869995]",148.579994
2022-11-17,"[146.149994, 151.479996]",148.814995
2022-11-18,"[149.970001, 152.699997]",151.33499899999998
2022-11-21,"[147.720001, 150.369995]",149.044998
2022-11-22,"[146.929993, 150.419998]",148.6749955
2022-11-23,"[149.339996, 151.830002]",150.584999
2022-11-25,"[147.119995, 148.880005]",148.0
2022-11-28,"[143.380005, 146.639999]",145.010002
2022-11-29,"[140.350006, 144.809998]",142.580002
2022-11-30,"[140.550003, 148.720001]",144.635002
2022-12-01,"[146.610001, 149.130005]",147.870003
2022-12-02,"[145.649994, 148.0]",146.824997
2022-12-05,"[145.770004, 150.919998]",148.345001
2022-12-06,"[141.919998, 147.300003]",144.6100005
2022-12-07,"[140.0, 143.369995]",141.6849975
2022-12-08,"[141.100006, 143.520004]",142.310005
2022-12-09,"[140.899994, 145.570007]",143.2350005
2022-12-12,"[141.059998, 144.5]",142.779999
2022-12-13,"[144.240005, 149.970001]",147.105003
2022-12-14,"[141.160004, 146.660004]",143.910004
2022-12-15,"[136.029999, 141.800003]",138.91500100000002
